place_name,count,normalised_key
Albania,9,albania
Bedford,9,bedford
Bristow,9,bristow
Deuonshire,9,deuonshire
Dublin,9,dublin
East Saxons,9,east saxons
Hierusalem,9,hierusalem
Humber,9,humber
Surrey,9,surrey
Yorkeshyre,9,yorkeshyre
Bath,8,bath
Brytayne,8,brytayne
Caunterburie,8,caunterburie
Glastenburie,8,glastenburie
Greece,8,greece
Holy land,8,holy land
March,8,march
Realme,8,realme
Shirebourne,8,shirebourne
Shrewsburie,8,shrewsburie
Tourney,8,tourney
Tower,8,tower
Worceter,8,worceter
York,8,york
Armorica,7,armorica
Berwick,7,berwick
Camulodunum,7,camulodunum
Couentrey,7,couentrey
Deuonshyre,7,deuonshyre
Douer Castle,7,douer castle
Herford,7,herford
Hispaine,7,hispaine
Ile of Ely,7,ile of ely
Monmouth,7,monmouth
Rochester Castle,7,rochester castle
Towre of London,7,towre of london
Westmerland,7,westmerland
Angiers,6,angiers
Angus,6,angus
Aquitaine,6,aquitaine
Arundel,6,arundel
Buckingham,6,buckingham
Burgoigne,6,burgoigne
Caerleil,6,caerleil
Cicester,6,cicester
Clarence,6,clarence
Dorset,6,dorset
Guyen,6,guyen
Hasting,6,hasting
Lindesferne,6,lindesferne
Poictou,6,poictou
Portesmouth,6,portesmouth
Poules,6,poules
Roan,6,roan
Salisburye,6,salisburye
Seuerne,6,seuerne
Southampton,6,southampton
Welles,6,welles
Windsor,6,windsor
Acres,5,acres
Barwicke,5,barwicke
Bloys,5,bloys
Burgongne,5,burgongne
Cantorburye,5,cantorburye
Castill,5,castill
Caunterbury,5,caunterbury
Certicestshore,5,certicestshore
Couentrie,5,couentrie
Cypres,5,cypres
Danes,5,danes
Deira,5,deira
Denmark,5,denmark
Derby,5,derby
Eastsaxons,5,eastsaxons
Frace,5,frace
Gascoine,5,gascoine
Irelad,5,irelad
Italie,5,italie
Londo,5,londo
Norrham Castle,5,norrham castle
Northu berland,5,northu berland
Northwales,5,northwales
Powles,5,powles
Rouen,5,rouen
Rutland,5,rutland
S. Albons,5,s. albons
Sandwich,5,sandwich
Scotlad,5,scotlad
Sicile,5,sicile
Smithfield,5,smithfield
Theis,5,theis
Warwick,5,warwick
Whitby,5,whitby
Yorkshyre,5,yorkshyre
Alnewike,4,alnewike
Arde,4,arde
Arundell,4,arundell
Austrich,4,austrich
Bangor,4,bangor
Bollongne,4,bollongne
Boloigne,4,boloigne
Bulleyne,4,bulleyne
Carleil,4,carleil
Celtica,4,celtica
Darby,4,darby
Egypt,4,egypt
Excester,4,excester
Gascoin,4,gascoin
Gipswich,4,gipswich
Glamorgan,4,glamorgan
Haddington,4,haddington
Hampton,4,hampton
Henalt,4,henalt
Herefoord,4,herefoord
Ipswich,4,ipswich
Kildare,4,kildare
Lewes,4,lewes
Lincoln,4,lincoln
Lincolnshire,4,lincolnshire
Lindesey,4,lindesey
Lindsey,4,lindsey
Litchfield,4,litchfield
Ludlow,4,ludlow
Maus,4,maus
Muskleborough,4,muskleborough
Puglia,4,puglia
Ramsey,4,ramsey
Reding,4,reding
Roche Darien,4,roche darien
Scluse,4,scluse
Somersetshyre,4,somersetshyre
Spayne,4,spayne
Stanes,4,stanes
Stoke,4,stoke
Sweden,4,sweden
Torksey,4,torksey
Warwike,4,warwike
Whiterne,4,whiterne
Windsore,4,windsore
Albion,3,albion
Almaigne,3,almaigne
Almaine,3,almaine
Asia,3,asia
Badon hill,3,badon hill
Basing,3,basing
Bayeux,3,bayeux
Bayon,3,bayon
Brenitia,3,brenitia
Bruges,3,bruges
Brytain,3,brytain
Bullongne,3,bullongne
Bury,3,bury
Calaice,3,calaice
Caleis,3,caleis
Cambrey,3,cambrey
Cardiffe,3,cardiffe
Careleile,3,careleile
Castil,3,castil
Catorburie,3,catorburie
Chartley,3,chartley
Chinon,3,chinon
Cirencester,3,cirencester
Constans,3,constans
Constantinople,3,constantinople
Cumberlande,3,cumberlande
Damieta,3,damieta
Dampfront,3,dampfront
Demetia,3,demetia
Dorchester,3,dorchester
Dunwich,3,dunwich
Duresme,3,duresme
East Kent,3,east kent
Eastangle,3,eastangle
Eglesdon,3,eglesdon
Euesham,3,euesham
Eueshame,3,eueshame
Eureur,3,eureur
Europe,3,europe
Ewe,3,ewe
Flauders,3,flauders
Frauce,3,frauce
Gascoigne,3,gascoigne
Gascoyne,3,gascoyne
Germany,3,germany
Hatfield,3,hatfield
Henaud,3,henaud
Hereforde,3,hereforde
Hexham,3,hexham
Hungarie,3,hungarie
Hunnes,3,hunnes
Ile of Anglesey,3,ile of anglesey
Ile of Man,3,ile of man
India,3,india
Langley,3,langley
Lile,3,lile
Limoges,3,limoges
Lisle,3,lisle
Lith,3,lith
Lo don,3,lo don
Lodo,3,lodo
Loegria,3,loegria
Ludgate,3,ludgate
Lyndsey,3,lyndsey
Maldon,3,maldon
Malmesburie,3,malmesburie
Mellent,3,mellent
Mercie,3,mercie
Messina,3,messina
Morienne,3,morienne
Mountfort,3,mountfort
Mutterel,3,mutterel
Naples,3,naples
Nauntes,3,nauntes
Norfolk,3,norfolk
Normadie,3,normadie
Northumberlad,3,northumberlad
Norwich Castle,3,norwich castle
Nottingham,3,nottingham
Ormond,3,ormond
Paules,3,paules
Pomfret,3,pomfret
Porchester,3,porchester
Prouance,3,prouance
Reading,3,reading
Saint Quintins,3,saint quintins
Sandwiche,3,sandwiche
Saxonie,3,saxonie
Sea,3,sea
Shrewsbury,3,shrewsbury
Sicil,3,sicil
Smythfield,3,smythfield
Southwales,3,southwales
Sparatinum,3,sparatinum
Stamford,3,stamford
Streaneshall,3,streaneshall
Susser,3,susser
Tankeruile,3,tankeruile
Tholous,3,tholous
Tholouse,3,tholouse
Tine riuer,3,tine riuer
Turwin,3,turwin
VVestminster,3,vvestminster
VVinchester,3,vvinchester
Vernon,3,vernon
Waterfoord,3,waterfoord
Westsaxons,3,westsaxons
Wight,3,wight
Wilton,3,wilton
ypres,3,ypres
Affrica,2,affrica
Alanson,2,alanson
Alcluid,2,alcluid
Allerton,2,allerton
Allobroges,2,allobroges
Almayne,2,almayne
Amboys,2,amboys
Andeuer,2,andeuer
Andresey Ile,2,andresey ile
Anglesey Ile,2,anglesey ile
Aquitain,2,aquitain
Aquitayne,2,aquitayne
Archenbray,2,archenbray
Armorike Britaine,2,armorike britaine
Arras,2,arras
Artois,2,artois
Ashdon,2,ashdon
Ashdone,2,ashdone
Athelney,2,athelney
Athens,2,athens
Athol,2,athol
Aumarle,2,aumarle
Auon,2,auon
Badon,2,badon
Barnet,2,barnet
Barwike,2,barwike
Barzelone,2,barzelone
Bayeulx,2,bayeulx
Bernicia,2,bernicia
Berwike,2,berwike
Beuerley,2,beuerley
Biham Castle,2,biham castle
Blacke heath,2,blacke heath
Blackheath,2,blackheath
Blackwell hall,2,blackwell hall
Boheme,2,boheme
Bolongne,2,bolongne
Bosworth,2,bosworth
Brecknock,2,brecknock
Brentford,2,brentford
Brigantes,2,brigantes
Bristowe,2,bristowe
Britains,2,britains
Britaynes,2,britaynes
Brittaine,2,brittaine
Broughty,2,broughty
Bulgarie,2,bulgarie
Bullenberg,2,bullenberg
Bullogne,2,bullogne
Bullongue,2,bullongue
Bunghey Castle,2,bunghey castle
Burgogne,2,burgogne
Burgoine,2,burgoine
Caerbran,2,caerbran
Caerleon,2,caerleon
Caerlile,2,caerlile
Cahors,2,cahors
Calays,2,calays
Calne,2,calne
Cambrige,2,cambrige
Cameletum,2,cameletum
Candida Casa,2,candida casa
Cant,2,cant
Canterburye,2,canterburye
Cardigan,2,cardigan
Champaigne,2,champaigne
Chepstow,2,chepstow
Chesshyre,2,chesshyre
Chesterfield,2,chesterfield
Chipnham,2,chipnham
Cisteaux,2,cisteaux
Citie,2,citie
Cleue,2,cleue
Clusium,2,clusium
Colen,2,colen
Connagh,2,connagh
Cornewal,2,cornewal
Cornewale,2,cornewale
Cornhill,2,cornhill
Cottesholde,2,cottesholde
Crekenfourd,2,crekenfourd
Cressey,2,cressey
Dam,2,dam
Danuille,2,danuille
Dartmouth,2,dartmouth
Dee Riuer,2,dee riuer
Denbighshyre,2,denbighshyre
Derbie,2,derbie
Derwent Riuer,2,derwent riuer
Doll castle,2,doll castle
Dumber,2,dumber
Dyorth,2,dyorth
East Angle,2,east angle
East Marches,2,east marches
Edanton,2,edanton
Edenbrugh,2,edenbrugh
Edenbrugh Castle,2,edenbrugh castle
Edenburgh,2,edenburgh
Elie,2,elie
Elye,2,elye
Englandes,2,englandes
Europ,2,europ
Faleys,2,faleys
Fert Castle,2,fert castle
Fescampe,2,fescampe
Finchamsteede,2,finchamsteede
Fladers,2,fladers
Flint,2,flint
Framingham Castle,2,framingham castle
Galloway,2,galloway
Gernesey,2,gernesey
Gillingham,2,gillingham
Gisors,2,gisors
Glastenbury,2,glastenbury
Grantchester,2,grantchester
Graueling,2,graueling
Grece,2,grece
Groby Castle,2,groby castle
Guien,2,guien
Guild hal,2,guild hal
Hatfielde,2,hatfielde
Hayles,2,hayles
Herthew,2,herthew
Hispayne,2,hispayne
Holland,2,holland
Holme,2,holme
Holy Lande,2,holy lande
Holye land,2,holye land
Hull,2,hull
Hungary,2,hungary
Huntington Castle,2,huntington castle
Ile of Stepen,2,ile of stepen
Ile of Tenet,2,ile of tenet
Ipre,2,ipre
Kinarde Ferie Castle,2,kinarde ferie castle
Lanc,2,lanc
Lancashyre,2,lancashyre
Landaffe,2,landaffe
Lee,2,lee
Leoffe,2,leoffe
Leogitia,2,leogitia
Leycesters,2,leycesters
Lichfielde,2,lichfielde
Litchfeeld,2,litchfeeld
Loches,2,loches
Lodon,2,lodon
Londons,2,londons
Ludlow Castle,2,ludlow castle
Maesbell,2,maesbell
Malmesburie Castle,2,malmesburie castle
Malmesbury,2,malmesbury
Man,2,man
Marche,2,marche
Marches,2,marches
Maunt,2,maunt
Mauritania,2,mauritania
Mayne,2,mayne
Mercee,2,mercee
Merseware,2,merseware
Merton,2,merton
Mesia,2,mesia
Midleham,2,midleham
Monkaster,2,monkaster
Montgomery,2,montgomery
Mortaigne,2,mortaigne
Mortimers crosse,2,mortimers crosse
Morton,2,morton
Moscouia,2,moscouia
Mountsorel,2,mountsorel
Muttrel,2,muttrel
Nauarre,2,nauarre
Newarke Castle,2,newarke castle
Newhauen,2,newhauen
Newport,2,newport
Norffolk,2,norffolk
Norffolke,2,norffolke
Normady,2,normady
Normandies,2,normandies
Northamton,2,northamton
Northuberland,2,northuberland
Norwich Citie,2,norwich citie
Norwiche,2,norwiche
Oceane,2,oceane
Ocley,2,ocley
Odiham Castle,2,odiham castle
Oldney,2,oldney
Ouse,2,ouse
Pascy Castle,2,pascy castle
Pebroke,2,pebroke
Pedredesmouth,2,pedredesmouth
Pembrooke,2,pembrooke
Pentho,2,pentho
Perch,2,perch
Peterborough,2,peterborough
Picardie,2,picardie
Pictes,2,pictes
Piemont,2,piemont
Poicters,2,poicters
Pomfret Castle,2,pomfret castle
Portingal,2,portingal
Portingale,2,portingale
Rhodes,2,rhodes
Richemont,2,richemont
Richmonde,2,richmonde
Rimemede,2,rimemede
Rochel,2,rochel
Rowen,2,rowen
S. Omers,2,s. omers
S. Paule,2,s. paule
S. Quintines,2,s. quintines
Sadwich,2,sadwich
Sagium,2,sagium
Saint Andrewes,2,saint andrewes
Sainte Albons,2,sainte albons
Sainte Valerie,2,sainte valerie
Samothea,2,samothea
Sauoy,2,sauoy
Scithia,2,scithia
Sens,2,sens
Shaftesburie,2,shaftesburie
Sicill,2,sicill
Sion,2,sion
Somersetshire,2,somersetshire
Southamton,2,southamton
Staffordshire,2,staffordshire
Stonehenge,2,stonehenge
Stonhenge,2,stonhenge
Striuelin Castell,2,striuelin castell
Strowde,2,strowde
Suffolk,2,suffolk
Swale,2,swale
Swanescombe,2,swanescombe
Swedeners,2,swedeners
Tailbourgh,2,tailbourgh
Tanet,2,tanet
Thanet,2,thanet
Thetford,2,thetford
Thistleworth,2,thistleworth
Thorney,2,thorney
Tinmouth,2,tinmouth
Totnes,2,totnes
Toures,2,toures
Tours,2,tours
Tower of Lodon,2,tower of lodon
Trent,2,trent
Tunbridge Castell,2,tunbridge castell
Tusculane,2,tusculane
VVilton,2,vvilton
VVorcester,2,vvorcester
Valeria,2,valeria
Vandosme,2,vandosme
Vernueill,2,vernueill
Vienna,2,vienna
Viterbo,2,viterbo
Waltham Colledge,2,waltham colledge
Warham,2,warham
Warlamchester,2,warlamchester
West Sarons,2,west sarons
Westchester,2,westchester
Westmin,2,westmin
Wigmere,2,wigmere
Wilshire,2,wilshire
Winbourne,2,winbourne
Winchelsey,2,winchelsey
Woodstocke,2,woodstocke
Yorkeshire,2,yorkeshire
Zeland,2,zeland
blackamore,2,blackamore
holy Iland,2,holy iland
little Britaine,2,little britaine
Abbingdon,1,abbingdon
Abingdon,1,abingdon
Abirnethi,1,abirnethi
Aburgeinty,1,aburgeinty
Achikelmeslawe,1,achikelmeslawe
Adarstone,1,adarstone
Aeton Burnel,1,aeton burnel
Afrike,1,afrike
Ageincourt,1,ageincourt
Agencourt,1,agencourt
Agendis,1,agendis
Aglisthorpe,1,aglisthorpe
Aiguillon,1,aiguillon
Aimouth,1,aimouth
Akalon,1,akalon
Alba,1,alba
Albanie,1,albanie
Albany,1,albany
Albanye,1,albanye
Albemarke,1,albemarke
Albeney,1,albeney
Album monasterium,1,album monasterium
Alchdon,1,alchdon
Alclud,1,alclud
Alcoch,1,alcoch
Aldegate,1,aldegate
Alerium Castle,1,alerium castle
Algeberota,1,algeberota
Almai,1,almai
Almaine Campe,1,almaine campe
Alnewicke,1,alnewicke
Alnewike Castle,1,alnewike castle
Aluergne,1,aluergne
Ambrei,1,ambrei
Ambresburie,1,ambresburie
Ambreuilliers,1,ambreuilliers
Ambrie,1,ambrie
Amesbury,1,amesbury
Anandale,1,anandale
Andauer,1,andauer
Andell,1,andell
Andredecester,1,andredecester
Andredescester,1,andredescester
Andredesley,1,andredesley
Andredeswald,1,andredeswald
Andredeswold,1,andredeswold
Andren,1,andren
Andresey,1,andresey
Andwarpe,1,andwarpe
Angolesme,1,angolesme
Anion,1,anion
Aniow,1,aniow
Anne beame,1,anne beame
Anou,1,anou
Antwerp,1,antwerp
Antwerpe,1,antwerpe
Apleby,1,apleby
Appledore,1,appledore
Apre Riuar,1,apre riuar
Aques,1,aques
Aquileia,1,aquileia
Aquitane,1,aquitane
Aragon,1,aragon
Aranges,1,aranges
Ardemach,1,ardemach
Ardes,1,ardes
Ardmach,1,ardmach
Argiues,1,argiues
Arles,1,arles
Armach,1,armach
Armarthia,1,armarthia
Arndell,1,arndell
Arudel,1,arudel
Arundeli,1,arundeli
Ascalon,1,ascalon
Aschdon,1,aschdon
Ashdon Churche,1,ashdon churche
Ashrugge Abbey,1,ashrugge abbey
Athenes,1,athenes
Auandernes,1,auandernes
Aubaroch,1,aubaroch
Aubemarle,1,aubemarle
Auberoch,1,auberoch
Audrien,1,audrien
Augusta,1,augusta
Auguste,1,auguste
Aulroy,1,aulroy
Auranges,1,auranges
Austria,1,austria
Auxer,1,auxer
Auxerre,1,auxerre
Ayre,1,ayre
Babilon,1,babilon
Bado hill,1,bado hill
Baieux,1,baieux
Baire,1,baire
Balingham,1,balingham
Balon,1,balon
Balun Castle,1,balun castle
Bamborough Castle,1,bamborough castle
Bamborrough Castle,1,bamborrough castle
Bambrough,1,bambrough
Bambure,1,bambure
Bamburge,1,bamburge
Banbery,1,banbery
Banborough Castle,1,banborough castle
Banbourgh,1,banbourgh
Banbourgh Castle,1,banbourgh castle
Baniere,1,baniere
Banocks Borne,1,banocks borne
Barbe,1,barbe
Barcehadowne,1,barcehadowne
Bardeny,1,bardeny
Bardi,1,bardi
Bardona,1,bardona
Bardsey,1,bardsey
Barh,1,barh
Barham downe,1,barham downe
Barkeshyre,1,barkeshyre
Barkshyre,1,barkshyre
Barnards castle,1,barnards castle
Barthes,1,barthes
Bascheruille Castle,1,bascheruille castle
Basingstoke,1,basingstoke
Basingwerke,1,basingwerke
Basse Buileyne,1,basse buileyne
Bats Abbey,1,bats abbey
Batteil,1,batteil
Batteyll Abbey,1,batteyll abbey
Bauer,1,bauer
Bayeult,1,bayeult
Baynardes Castle,1,baynardes castle
Beamfeeld,1,beamfeeld
Beamfield,1,beamfield
Beandune,1,beandune
Beaner,1,beaner
Beanton,1,beanton
Beauchampe Tower,1,beauchampe tower
Beaudune,1,beaudune
Beaufort,1,beaufort
Beaumaries,1,beaumaries
Beaumeut,1,beaumeut
Beaumount,1,beaumount
Beaunoys,1,beaunoys
Beauoyes,1,beauoyes
Beauuois,1,beauuois
Beauvoisin,1,beauvoisin
Bechellouin,1,bechellouin
Bechelloum,1,bechelloum
Bechellouyn,1,bechellouyn
Bedfoord,1,bedfoord
Bedford castle,1,bedford castle
Bedforde,1,bedforde
Bedfordshire,1,bedfordshire
Beeland,1,beeland
Beertwell,1,beertwell
Beeston Castle,1,beeston castle
Begemini,1,begemini
Belesham,1,belesham
Belesme,1,belesme
Bellegard,1,bellegard
Bellencumbre,1,bellencumbre
Bellings gate,1,bellings gate
Bellius castle,1,bellius castle
Bensington,1,bensington
Ber,1,ber
Beranburie,1,beranburie
Bereford,1,bereford
Berhara downe,1,berhara downe
Berkamsted,1,berkamsted
Berkhamsted,1,berkhamsted
Berkhamsted Castle,1,berkhamsted castle
Berking,1,berking
Berkley,1,berkley
Bernards Castle,1,bernards castle
Berry,1,berry
Bertine Churche,1,bertine churche
Berwick Castle,1,berwick castle
Berwicke,1,berwicke
Berwik,1,berwik
Beuall,1,beuall
Beuer,1,beuer
Beuerley Churche,1,beuerley churche
Beuerly,1,beuerly
Beuerstane,1,beuerstane
Biland,1,biland
Biligelhage,1,biligelhage
Birlington,1,birlington
Biskaye,1,biskaye
Blackenesse,1,blackenesse
Blacknesse,1,blacknesse
Blayme,1,blayme
Blois,1,blois
Blorhothe,1,blorhothe
Bollogne,1,bollogne
Bolognois,1,bolognois
Bolognous,1,bolognous
Bolongnois,1,bolongnois
Borgongde,1,borgongde
Borgongne,1,borgongne
Borowbridge,1,borowbridge
Borowbrig,1,borowbrig
Boseham,1,boseham
Boswortha,1,boswortha
Bouins,1,bouins
Boulogne,1,boulogne
Bourgh Castle,1,bourgh castle
Bourgogne,1,bourgogne
Bourgongne,1,bourgongne
Boyham,1,boyham
Bray,1,bray
Brecknoc Castle,1,brecknoc castle
Brecknocke,1,brecknocke
Brent Marche,1,brent marche
Brest,1,brest
Bretaimous,1,bretaimous
Bretia,1,bretia
Briake,1,briake
Bricennamere,1,bricennamere
Bridgewater,1,bridgewater
Bridgnorth,1,bridgnorth
Bridgnorth Castle,1,bridgnorth castle
Briege,1,briege
Briges,1,briges
Brighthelmeton,1,brighthelmeton
Brimefourd,1,brimefourd
Brimsbery,1,brimsbery
Bristow Castle,1,bristow castle
Britaintes,1,britaintes
Britayn,1,britayn
Brittenden,1,brittenden
Bromeley,1,bromeley
Brooke,1,brooke
Brtaine,1,brtaine
Bruncham Castle,1,bruncham castle
Brunswic,1,brunswic
Brussels,1,brussels
Bruydon,1,bruydon
Bryson,1,bryson
Buckinghamshyre,1,buckinghamshyre
Buevenham,1,buevenham
Bullaine,1,bullaine
Bulleigne,1,bulleigne
Bulleyn,1,bulleyn
Bulogne,1,bulogne
Burbon,1,burbon
Burdee,1,burdee
Burdeox,1,burdeox
Burdiaur,1,burdiaur
Burford,1,burford
Burg,1,burg
Burgegne,1,burgegne
Burgeyny,1,burgeyny
Burgoin,1,burgoin
Burgondy,1,burgondy
Burgone,1,burgone
Burgongue,1,burgongue
Burie,1,burie
Burton,1,burton
Burton vpon Trent,1,burton vpon trent
Burwham,1,burwham
Bury Abbey,1,bury abbey
Byshops gate,1,byshops gate
Bythynia,1,bythynia
Cadfant,1,cadfant
Cadsant Ile,1,cadsant ile
Caene,1,caene
Caerbranke,1,caerbranke
Caergrant,1,caergrant
Caerguent,1,caerguent
Caerleir,1,caerleir
Caerlier,1,caerlier
Caerlton,1,caerlton
Caerlud,1,caerlud
Caermalet,1,caermalet
Caernaruan,1,caernaruan
Cain,1,cain
Cairbadon,1,cairbadon
Caircone,1,caircone
Cairleon Ar Wiske,1,cairleon ar wiske
Cala,1,cala
Calais Castle,1,calais castle
Calater wood,1,calater wood
Calender Wood,1,calender wood
Caleys,1,caleys
Callais,1,callais
Calthrop,1,calthrop
Camalodunum,1,camalodunum
Camblan,1,camblan
Cambraye,1,cambraye
Cambria,1,cambria
Cambridgeshire,1,cambridgeshire
Cambridgshire,1,cambridgshire
Cameletum Castle,1,cameletum castle
Camudolon,1,camudolon
Cancorburie,1,cancorburie
Cane,1,cane
Cannilodunum,1,cannilodunum
Canterb,1,canterb
Canterburies,1,canterburies
Capitoll,1,capitoll
Careleil,1,careleil
Carew,1,carew
Carleile,1,carleile
Carlest,1,carlest
Carlile,1,carlile
Carmardyn,1,carmardyn
Carricke,1,carricke
Carrik,1,carrik
Carrum,1,carrum
Cartbridge Castle,1,cartbridge castle
Cartile,1,cartile
Cary,1,cary
Cary castle,1,cary castle
Cassels,1,cassels
Cassia,1,cassia
Castell,1,castell
Castell of Douer,1,castell of douer
Castile,1,castile
Castle Baruard,1,castle baruard
Castle Galiard,1,castle galiard
Castle of Douer,1,castle of douer
Castleford,1,castleford
Cataractone,1,cataractone
Caterburi,1,caterburi
Catnesse,1,catnesse
Catorbury,1,catorbury
Caunterburye,1,caunterburye
Cauntorburie,1,cauntorburie
Cealtide,1,cealtide
Ceires,1,ceires
Celby Abbey,1,celby abbey
Celiestline Abbey,1,celiestline abbey
Cerdiceore,1,cerdiceore
Cere,1,cere
Chalus Cheuerel,1,chalus cheuerel
Chalus Cheuerell,1,chalus cheuerell
Champeigne,1,champeigne
Charing Crosse,1,charing crosse
Charoloys,1,charoloys
Charterhouse,1,charterhouse
Charters,1,charters
Chases,1,chases
Chastillion,1,chastillion
Chastillions,1,chastillions
Chateau Galiard,1,chateau galiard
Chateau de Leire,1,chateau de leire
Chatoau Valyard,1,chatoau valyard
Chatterhouse,1,chatterhouse
Cheapside,1,cheapside
Chepitow,1,chepitow
Cherburgh,1,cherburgh
Chereburg,1,chereburg
Chertsey,1,chertsey
Chesshire,1,chesshire
Chestar,1,chestar
Chester in the Streete,1,chester in the streete
Chierburghe,1,chierburghe
Chifi,1,chifi
Chilterne Woods,1,chilterne woods
Chiorburgh,1,chiorburgh
Chippingnorton,1,chippingnorton
Chirchedune,1,chirchedune
Chitrey,1,chitrey
Chorea Gigantum,1,chorea gigantum
Christes Church,1,christes church
Christes Churche,1,christes churche
Cicel,1,cicel
Cipres,1,cipres
Circiter,1,circiter
Cirester,1,cirester
Cisteaur,1,cisteaur
Clare,1,clare
Clarece,1,clarece
Clarickford,1,clarickford
Claudiocestria,1,claudiocestria
Cleberie,1,cleberie
Cleneland,1,cleneland
Clide riuer,1,clide riuer
Clipestone,1,clipestone
Clmount,1,clmount
Cloaricus,1,cloaricus
Closse,1,closse
Clun Riuer,1,clun riuer
Cobham,1,cobham
Cobre,1,cobre
Colcheste,1,colcheste
Coldingham,1,coldingham
Cole More,1,cole more
Colesey,1,colesey
Coleyn,1,coleyn
Colledge,1,colledge
Colloshill,1,colloshill
Colneham,1,colneham
Comeran,1,comeran
Common,1,common
Compto in the Hole,1,compto in the hole
Concordia,1,concordia
Connach,1,connach
Connah,1,connah
Conquet,1,conquet
Constance,1,constance
Constances,1,constances
Constancies,1,constancies
Conuersans,1,conuersans
Coquid,1,coquid
Core,1,core
Corfe,1,corfe
Corgh,1,corgh
Corke,1,corke
Corphes,1,corphes
Corselles,1,corselles
Cossam,1,cossam
Cotfold,1,cotfold
Couenerie,1,couenerie
Couentree,1,couentree
Couentrye,1,couentrye
Countrey,1,countrey
Countreys,1,countreys
Coursey,1,coursey
Coursye,1,coursye
Cowchete,1,cowchete
Cranmers,1,cranmers
Creffy,1,creffy
Creyford,1,creyford
Cride Abbey,1,cride abbey
Crouch hauen,1,crouch hauen
Crowland,1,crowland
Croyden,1,croyden
Croydon,1,croydon
Cryde Abbey,1,cryde abbey
Crykelade,1,crykelade
Cumbarland,1,cumbarland
Cumberlad,1,cumberlad
Cumbresburge,1,cumbresburge
Cumbresourg,1,cumbresourg
Cumbridge,1,cumbridge
Cunbridge Castel,1,cunbridge castel
Cunburg,1,cunburg
Cunecester,1,cunecester
Cuneueshore,1,cuneueshore
Dale,1,dale
Dam Hauen,1,dam hauen
Damfront,1,damfront
Dancaster,1,dancaster
Dancastre,1,dancastre
Danstable,1,danstable
Danuile Castel,1,danuile castel
Darbie,1,darbie
Darham,1,darham
Darus,1,darus
De la mere forest,1,de la mere forest
Dearehurst,1,dearehurst
Deepe,1,deepe
Degsastane,1,degsastane
Demark,1,demark
Demsseborne,1,demsseborne
Denbighshyremen,1,denbighshyremen
Denonshire,1,denonshire
Denonshyre,1,denonshyre
Deping,1,deping
Derbshyre,1,derbshyre
Dertsord,1,dertsord
Deuelin,1,deuelin
Deuon,1,deuon
Diepe,1,diepe
Dintingdale,1,dintingdale
Dinuhoc Castle,1,dinuhoc castle
Dioces of Terwine,1,dioces of terwine
Diouionensis,1,diouionensis
Disarde Castle,1,disarde castle
Dixuew,1,dixuew
Dogges hauen,1,dogges hauen
Dole,1,dole
Doncaster,1,doncaster
Donwich,1,donwich
Dorcet,1,dorcet
Dorcetshyre,1,dorcetshyre
