person_name,count,normalised_key
Mempricius,4,mempricius
Nathaliod,4,nathaliod
Nazaleod,4,nazaleod
Neptune,4,neptune
Noe,4,noe
Ostorius,4,ostorius
Oswyn,4,oswyn
Osyris,4,osyris
Otha,4,otha
Pandulph,4,pandulph
Paulus,4,paulus
Perhennis,4,perhennis
Pertinar,4,pertinar
Pleymond,4,pleymond
Polidore,4,polidore
Ranulphe,4,ranulphe
Remigius,4,remigius
Rowen,4,rowen
Rud,4,rud
Sabart,4,sabart
Samothes,4,samothes
Sigharde,4,sigharde
Silures,4,silures
Siward,4,siward
Siwarde,4,siwarde
Somerset,4,somerset
Stanley,4,stanley
Talbot,4,talbot
Talbot George,4,talbot george
Theobalde,4,theobalde
Thom.,4,thom.
Thomas Beckets,4,thomas beckets
Thomas Mowbrey,4,thomas mowbrey
VVilfrid,4,vvilfrid
Vortiporus,4,vortiporus
Vthred,4,vthred
Walcher,4,walcher
Woden,4,woden
Adam,3,adam
Adela,3,adela
Aetius,3,aetius
Aganippus,3,aganippus
Agnes,3,agnes
Agricola,3,agricola
Alchfride,3,alchfride
Aldroenus,3,aldroenus
Alla,3,alla
Amphibalus,3,amphibalus
Angles,3,angles
Ardulfe,3,ardulfe
Audeley,3,audeley
Aydans,3,aydans
Bale Iohn,3,bale iohn
Bardi,3,bardi
Barnes,3,barnes
Basreeg,3,basreeg
Bearne,3,bearne
Beaumont,3,beaumont
Belesme Robert,3,belesme robert
Bergion,3,bergion
Bernulf,3,bernulf
Bertha,3,bertha
Brute Greeneshield,3,brute greeneshield
Brutes,3,brutes
Brytaines,3,brytaines
Bulleyne Thomas,3,bulleyne thomas
Burgh Hubert,3,burgh hubert
Cadwallader,3,cadwallader
Caligula,3,caligula
Calphurnius,3,calphurnius
Cangi,3,cangi
Careticus,3,careticus
Carpwald,3,carpwald
Cartimandua,3,cartimandua
Catigernus,3,catigernus
Centwine,3,centwine
Ceolwolfe,3,ceolwolfe
Charles de Bloys,3,charles de bloys
Chastillion,3,chastillion
Christians,3,christians
Clifford,3,clifford
Clinton,3,clinton
Commodus,3,commodus
Copsius,3,copsius
Corman,3,corman
Crida,3,crida
Damianus,3,damianus
Didius,3,didius
Dioclesianus,3,dioclesianus
Domitianus,3,domitianus
Dowglas Archimbald,3,dowglas archimbald
Dubritius,3,dubritius
Dunstans,3,dunstans
Ed,3,ed
Edelfert,3,edelfert
Edilwald,3,edilwald
Edrick,3,edrick
Edricke de Streona,3,edricke de streona
Edwines,3,edwines
Egfride,3,egfride
Egwine,3,egwine
Elanius,3,elanius
Eldred,3,eldred
Elenor,3,elenor
Elphegus,3,elphegus
English men,3,english men
Ercombert,3,ercombert
Erick,3,erick
Escuinus,3,escuinus
Ethelreda,3,ethelreda
Eweline,3,eweline
Fabian,3,fabian
Fits Williams William,3,fits williams william
Fitz Peter Geffrey,3,fitz peter geffrey
Flauius Victor,3,flauius victor
Frances,3,frances
Frenchmen,3,frenchmen
Friswide,3,friswide
Fulgentius,3,fulgentius
Geffrey Plantagenet,3,geffrey plantagenet
Genissa,3,genissa
Gilla,3,gilla
Giraldus Cambrensis,3,giraldus cambrensis
Goffarius,3,goffarius
Gospatrick,3,gospatrick
Gratianus Funarius,3,gratianus funarius
Gray Thomas,3,gray thomas
Gray Walter,3,gray walter
Guillomer,3,guillomer
Guilthdacus,3,guilthdacus
Gurgustius,3,gurgustius
Gurgustus,3,gurgustus
Gurth,3,gurth
Halden,3,halden
Haroldes,3,haroldes
Harrison William,3,harrison william
Hasting,3,hasting
Hastings,3,hastings
Helias,3,helias
Henrye de Essex,3,henrye de essex
Heraclius,3,heraclius
Hirilda,3,hirilda
Hubba,3,hubba
Hugh Lacie,3,hugh lacie
Hugh Lupus,3,hugh lupus
Hungar,3,hungar
Iago,3,iago
Iane,3,iane
Igwarne,3,igwarne
Ioan,3,ioan
Iohannes Cremensis,3,iohannes cremensis
Iricius,3,iricius
Kyng Iohn,3,kyng iohn
Kynimacus,3,kynimacus
Latimer,3,latimer
Leil,3,leil
Leirs,3,leirs
Longchampe William,3,longchampe william
Lynceus,3,lynceus
Maglanus,3,maglanus
Magus,3,magus
March,3,march
Marentius,3,marentius
Margret,3,margret
Maximinus,3,maximinus
Modwene,3,modwene
Moriani,3,moriani
Moses,3,moses
Neptunus,3,neptunus
Nicholas,3,nicholas
Nigel,3,nigel
Northumbers,3,northumbers
Ormus,3,ormus
Osberne,3,osberne
Osoulphus,3,osoulphus
Osunus,3,osunus
Paule,3,paule
Paulet William,3,paulet william
Pawlet William,3,pawlet william
Peada,3,peada
Peda,3,peda
Percie,3,percie
Phillip,3,phillip
Plantagenet,3,plantagenet
Polidore Virgil,3,polidore virgil
Prasutagus,3,prasutagus
Putta,3,putta
Quendred,3,quendred
Quichelme,3,quichelme
Raucin Geffrey,3,raucin geffrey
Richmond,3,richmond
Rigsig,3,rigsig
Rise ap Griffin,3,rise ap griffin
Riuallon,3,riuallon
Robert Brus,3,robert brus
Romaines,3,romaines
Rufus Williams,3,rufus williams
Secular Priestes,3,secular priestes
Selred,3,selred
Simon Dunelmen,3,simon dunelmen
Spencer,3,spencer
Spencer Hugh,3,spencer hugh
Spencers,3,spencers
Swithed,3,swithed
Tacuinus,3,tacuinus
Tancrede,3,tancrede
Thomas Beauchamp,3,thomas beauchamp
Thomas Gray,3,thomas gray
Thurstane,3,thurstane
Trebellius,3,trebellius
VVilliam Rufus,3,vvilliam rufus
VVilloughby Roberte,3,vvilloughby roberte
Valentinianus,3,valentinianus
Vimer,3,vimer
Volusenus,3,volusenus
Wade,3,wade
Walteof,3,walteof
Weston,3,weston
Wightgar,3,wightgar
William Conqueroure,3,william conqueroure
William Malmesburie,3,william malmesburie
Willyam,3,willyam
Withred,3,withred
Wolfhere,3,wolfhere
Wolsey,3,wolsey
Acca,2,acca
Adelicia,2,adelicia
Adeline,2,adeline
Adelme,2,adelme
Adelslane,2,adelslane
Adelstan,2,adelstan
Adulfe,2,adulfe
Agatha,2,agatha
Alban,2,alban
Albina,2,albina
Alda,2,alda
Aldhelme,2,aldhelme
Alditha,2,alditha
Alfin,2,alfin
Alfonse,2,alfonse
Alfreda,2,alfreda
Alfredes,2,alfredes
Alfreds,2,alfreds
Alfride,2,alfride
Alfwen,2,alfwen
Alrike,2,alrike
Altred,2,altred
Andrew Barton,2,andrew barton
Andrewe,2,andrewe
Angli,2,angli
Angussel,2,angussel
Annius,2,annius
Antoninus,2,antoninus
Antony,2,antony
Arnold,2,arnold
Arthure,2,arthure
Arundel,2,arundel
Atrius,2,atrius
Aumerle,2,aumerle
Baldred,2,baldred
Baldwin,2,baldwin
Bardus,2,bardus
Basset Philip,2,basset philip
Beauchamp,2,beauchamp
Beorne,2,beorne
Berosus,2,berosus
Bertus,2,bertus
Bertwolf,2,bertwolf
Berured,2,berured
Bigod Roger,2,bigod roger
Bigot Hugh,2,bigot hugh
Bisi,2,bisi
Bladulfe,2,bladulfe
Blanch,2,blanch
Blanche,2,blanche
Blederike,2,blederike
Boniface,2,boniface
Bonifacius,2,bonifacius
Bosa,2,bosa
Boucher Thomas,2,boucher thomas
Boune Henry,2,boune henry
Braybroke Henry,2,braybroke henry
Brent Foulkes,2,brent foulkes
Breuse William,2,breuse william
Brian,2,brian
Brightnoth,2,brightnoth
Brightwald,2,brightwald
Brocmale,2,brocmale
Brun hugh,2,brun hugh
Brutus,2,brutus
Brytaynes,2,brytaynes
Buckingham,2,buckingham
Bulmer Wylliam,2,bulmer wylliam
Cadwalloes,2,cadwalloes
Cadwan,2,cadwan
Camber,2,camber
Canute Prudan,2,canute prudan
Cartemandua,2,cartemandua
Cassibellanes,2,cassibellanes
Catharin,2,catharin
Cedwallo,2,cedwallo
Ceolred,2,ceolred
Ceoluolf,2,ceoluolf
Cham,2,cham
Charles Simplex,2,charles simplex
Christe,2,christe
Cicilie,2,cicilie
Colman,2,colman
Comius,2,comius
Conran,2,conran
Constantia,2,constantia
Copa,2,copa
Cornishmen,2,cornishmen
Costantinus,2,costantinus
Costantius,2,costantius
Costus,2,costus
Courtchuse William,2,courtchuse william
Courtehuse Robert,2,courtehuse robert
Courtney Edward,2,courtney edward
Courtney Willia,2,courtney willia
Cranmer,2,cranmer
Cridiorus,2,cridiorus
Cumdagins,2,cumdagins
Cumdagius,2,cumdagius
Cunedagius,2,cunedagius
Cunidagius,2,cunidagius
Dacres,2,dacres
Darby,2,darby
Darcie,2,darcie
De la Poole Edmund,2,de la poole edmund
Decianus Catus,2,decianus catus
Deus Dedit,2,deus dedit
Didanus,2,didanus
Dindimus,2,dindimus
Dowglas Margaret,2,dowglas margaret
Dubright,2,dubright
Dudley Iohn,2,dudley iohn
Dunwallo,2,dunwallo
Dunwalls,2,dunwalls
Eadhidus,2,eadhidus
Eadulfus,2,eadulfus
Ealdbright,2,ealdbright
Ealhere,2,ealhere
Eata,2,eata
Ed.,2,ed.
Edan,2,edan
Edelfride,2,edelfride
Edelhere,2,edelhere
Edelred,2,edelred
Edelwald,2,edelwald
Edelwin,2,edelwin
Edgita,2,edgita
Edmod,2,edmod
Edoll,2,edoll
Edw,2,edw
Edward Wooduile,2,edward wooduile
Edwarde Stafford,2,edwarde stafford
Egditha,2,egditha
Egelfrida,2,egelfrida
Egelwynus,2,egelwynus
Egilbert,2,egilbert
Elfled,2,elfled
Elianor Cobham,2,elianor cobham
Eltwold,2,eltwold
Eluane,2,eluane
English,2,english
Eric,2,eric
Estric,2,estric
Etheldred,2,etheldred
Ethelfert,2,ethelfert
Ethelginu,2,ethelginu
Ethelricus,2,ethelricus
Ethilda,2,ethilda
Eubald,2,eubald
Eufled,2,eufled
Fanconbridge,2,fanconbridge
Fausta,2,fausta
Ferdinande,2,ferdinande
Ferrers,2,ferrers
Fitz Iohn Eustace,2,fitz iohn eustace
Fitz Walter Robert,2,fitz walter robert
Fitz Williams William,2,fitz williams william
Follioth Gilbert,2,follioth gilbert
Forthere,2,forthere
Forz William,2,forz william
Fouke,2,fouke
Foukes de Brent,2,foukes de brent
Frankners,2,frankners
Frederick,2,frederick
Fredericke,2,fredericke
Frotto,2,frotto
Fugatius,2,fugatius
Furius Camissus,2,furius camissus
Galerius Maximianus,2,galerius maximianus
Galgacus,2,galgacus
Gardyner Stephen,2,gardyner stephen
Geffray Monmouth,2,geffray monmouth
Geffrey Monmouth,2,geffrey monmouth
Germaine,2,germaine
Gilbert Talbot,2,gilbert talbot
Gilbert de Clare,2,gilbert de clare
Gillomannus,2,gillomannus
Githa,2,githa
Gloucester,2,gloucester
God,2,god
Godfray,2,godfray
Godwynes,2,godwynes
Godwyns,2,godwyns
Gonorilla,2,gonorilla
Gorbodug,2,gorbodug
Gourney Hugh,2,gourney hugh
Gray Richard,2,gray richard
Grey,2,grey
Griffn,2,griffn
Gudwina,2,gudwina
Guido,2,guido
Gunhardus,2,gunhardus
Guortimer,2,guortimer
Gurmo,2,gurmo
Gurmond,2,gurmond
Guyon,2,guyon
H.,2,h.
Hacun,2,hacun
Hamo,2,hamo
Hardienute,2,hardienute
Haruie,2,haruie
Helen,2,helen
Hely,2,hely
Hennimus,2,hennimus
Henry Bolinbroke,2,henry bolinbroke
Henry the fourth,2,henry the fourth
Henrye Fitz Empresse,2,henrye fitz empresse
Herculeus Maximianus,2,herculeus maximianus
Hereward,2,hereward
Hery,2,hery
Higanius,2,higanius
Hilda,2,hilda
Hillarius,2,hillarius
Horgerius,2,horgerius
Horrestians,2,horrestians
Hubo,2,hubo
Hugh Courtney,2,hugh courtney
Hugh Mortimer,2,hugh mortimer
Hugh Spencer,2,hugh spencer
Humber,2,humber
Humfrey Bohun,2,humfrey bohun
Humfrey Stafford,2,humfrey stafford
Humfrey Stafforde,2,humfrey stafforde
Iacke,2,iacke
Iacke Cade,2,iacke cade
Iames Croftes,2,iames croftes
Iaquet,2,iaquet
Iaspor,2,iaspor
Ieruman,2,ieruman
Iesus Christ,2,iesus christ
Innocent,2,innocent
Ioane,2,ioane
Iocelyn,2,iocelyn
Iohn Curcy,2,iohn curcy
Iohn Donne,2,iohn donne
Iohn Duke of Bedford,2,iohn duke of bedford
Iohn Mortimer,2,iohn mortimer
Iohn Neuil,2,iohn neuil
Iohn of Gaunt,2,iohn of gaunt
Irmenrike,2,irmenrike
Isakius,2,isakius
Iuarus,2,iuarus
Iulius Agricola,2,iulius agricola
Iulius Classicianus,2,iulius classicianus
Katherine,2,katherine
Kenulfe,2,kenulfe
Kimarus,2,kimarus
Kinewulf,2,kinewulf
Kymbelaine,2,kymbelaine
Kyng Vortigernus,2,kyng vortigernus
Laabin,2,laabin
Lago,2,lago
Leill,2,leill
Lenox,2,lenox
Leogitia,2,leogitia
Leopold,2,leopold
Leoun,2,leoun
Lergetia,2,lergetia
Leyland Iohn,2,leyland iohn
Liuius Gallus,2,liuius gallus
Lollius,2,lollius
Longespee William,2,longespee william
Lou,2,lou
Louel,2,louel
Louell,2,louell
Lucy Richard,2,lucy richard
Lupicinus,2,lupicinus
Lupus,2,lupus
Lupus Hugh,2,lupus hugh
Mackbeth,2,mackbeth
Magi,2,magi
Malcolne,2,malcolne
Manlius,2,manlius
Marcus,2,marcus
Marie,2,marie
Marimus,2,marimus
Martia,2,martia
Martinus,2,martinus
Mat. Westm.,2,mat. westm.
Mathew,2,mathew
Maundeuile William,2,maundeuile william
Maurice,2,maurice
Mauus,2,mauus
Mawde,2,mawde
Maxentius,2,maxentius
Meduin,2,meduin
Melua,2,melua
Miles,2,miles
Monkes,2,monkes
Montacute,2,montacute
Morcade,2,morcade
Mordreds,2,mordreds
Morley,2,morley
Mountford Simon,2,mountford simon
Mulinucius,2,mulinucius
Mulmucius,2,mulmucius
Narcissus,2,narcissus
Nennius,2,nennius
Neuil Raufe,2,neuil raufe
Nouant Robert,2,nouant robert
Olavus,2,olavus
Ordouices,2,ordouices
Osburga,2,osburga
Osfride,2,osfride
Osmond,2,osmond
Osrick,2,osrick
Ostorius Scapula,2,ostorius scapula
Oswaldes,2,oswaldes
Oth,2,oth
Othobon,2,othobon
Owen,2,owen
Owen Teuther,2,owen teuther
Oxford,2,oxford
Pace Richard,2,pace richard
Pal,2,pal
Papirio Iohn,2,papirio iohn
Par William,2,par william
Parre William,2,parre william
Pascentius,2,pascentius
Patrike,2,patrike
Paul,2,paul
Percie Henry,2,percie henry
Petitur,2,petitur
Petronille,2,petronille
Pirrhus,2,pirrhus
Pope,2,pope
Popea,2,popea
Porter,2,porter
Porth,2,porth
Queene Elizabeth,2,queene elizabeth
Queene Katharin,2,queene katharin
Rafe,2,rafe
Ratcliffe Iohn,2,ratcliffe iohn
Ratcliffe Robert,2,ratcliffe robert
Reinald,2,reinald
Remclid,2,remclid
Reygnold Bray,2,reygnold bray
Rice ap Thomas,2,rice ap thomas
Richard Croftes,2,richard croftes
Richard Neuel,2,richard neuel
Richarde Scrope,2,richarde scrope
Richelinus,2,richelinus
Riuall,2,riuall
Robert Cumin,2,robert cumin
Robert Horne,2,robert horne
Robert Knolles,2,robert knolles
Robert Mulbray,2,robert mulbray
Robert Veer,2,robert veer
Robert Vmfreuel,2,robert vmfreuel
Robert de Mountfort,2,robert de mountfort
Roberte,2,roberte
Roger Acton,2,roger acton
Roger Mortimer,2,roger mortimer
Romans,2,romans
Romanus,2,romanus
Russel Iohn,2,russel iohn
Rychard,2,rychard
Saint Iohn,2,saint iohn
Salomon,2,salomon
Samothei,2,samothei
Samson,2,samson
Sarron,2,sarron
Saxnot,2,saxnot
Secular Priests,2,secular priests
Seguinus,2,seguinus
Sem,2,sem
Seufred,2,seufred
Shores,2,shores
Sigeferdes,2,sigeferdes
Simon Dunelm,2,simon dunelm
Simon Islep,2,simon islep
Simon Langham,2,simon langham
Sindhelme,2,sindhelme
Sisillius,2,sisillius
Sporta,2,sporta
Stephan Langton,2,stephan langton
Stephe,2,stephe
Stuff,2,stuff
Stuffe,2,stuffe
Stuteuile William,2,stuteuile william
Suardus,2,suardus
Suidhelme,2,suidhelme
Th.,2,th.
Theodora,2,theodora
Theodorus,2,theodorus
Thomas Arundell,2,thomas arundell
Thomas Becker,2,thomas becker
Thomas Dimocke,2,thomas dimocke
Thomas Howard,2,thomas howard
Thomas Percie,2,thomas percie
Thomas Smith,2,thomas smith
Thomas Stafford,2,thomas stafford
Thomas Stafforde,2,thomas stafforde
Thrustain,2,thrustain
Thrustane,2,thrustane
Thwaites,2,thwaites
Tirrell walter,2,tirrell walter
Tosty,2,tosty
Trahern,2,trahern
Traherne,2,traherne
Trebellius Maximus,2,trebellius maximus
Trebonius,2,trebonius
Trumhere,2,trumhere
Tunstall Cuthbert,2,tunstall cuthbert
Turkel,2,turkel
Turneham Robert,2,turneham robert
Twing Roberte,2,twing roberte
VValter,2,vvalter
VVighart,2,vvighart
VVilfred,2,vvilfred
VVim,2,vvim
VVinfrid,2,vvinfrid
Valdoys,2,valdoys
Valence William,2,valence william
Valentinian,2,valentinian
Valentinus,2,valentinus
Vecta,2,vecta
Veer Alberike,2,veer alberike
Vellocatus,2,vellocatus
Verannius,2,verannius
Verianianus,2,verianianus
Victoria,2,victoria
Vikillus,2,vikillus
Vlpius Marcellus,2,vlpius marcellus
Vngust,2,vngust
Vrsula,2,vrsula
Waltheof,2,waltheof
Warwike,2,warwike
Whitlafe,2,whitlafe
Wibbas,2,wibbas
Willia,2,willia
William Wickham,2,william wickham
William of Malmesburie,2,william of malmesburie
Wylliam Rufus,2,wylliam rufus
kyng William Rufus,2,kyng william rufus
wraw Iohn,2,wraw iohn
A Parre Tho,1,a parre tho
A water Iohn,1,a water iohn
Aaron,1,aaron
Absolon,1,absolon
Aburgalieny,1,aburgalieny
Aburgenny,1,aburgenny
Aburgeny,1,aburgeny
Achelnotus,1,achelnotus
Achilles,1,achilles
Ada,1,ada
Adam Banester,1,adam banester
Adelbert,1,adelbert
Adeliza,1,adeliza
Adelstans,1,adelstans
Adelste,1,adelste
Adelward,1,adelward
Adethelme,1,adethelme
Adila,1,adila
Adnothus,1,adnothus
Adolfe,1,adolfe
Adrians,1,adrians
Adulf,1,adulf
Adwine,1,adwine
Aetesia,1,aetesia
Aeti,1,aeti
Aewooe,1,aewooe
Affaracus,1,affaracus
Affricanes,1,affricanes
Agathirses,1,agathirses
Agelnothus,1,agelnothus
Ager,1,ager
Ager Anthonie,1,ager anthonie
Agilbeetus,1,agilbeetus
Agilbertus,1,agilbertus
Agnerus,1,agnerus
Agnexus,1,agnexus
Agricolas,1,agricolas
Agricula,1,agricula
Agriculas,1,agriculas
Aguell Henrie,1,aguell henrie
Agwarne,1,agwarne
Alaine,1,alaine
Alane,1,alane
Alane Ecle,1,alane ecle
Alba,1,alba
Alba Siluius,1,alba siluius
Albaney William,1,albaney william
Albemarle,1,albemarle
Albericke,1,albericke
Alberike,1,alberike
Albert,1,albert
Albert de Suma,1,albert de suma
Albinus,1,albinus
Alchfled,1,alchfled
Aldane Giles,1,aldane giles
Aldayne,1,aldayne
Aldemarle Wyl.,1,aldemarle wyl.
Aldgitha,1,aldgitha
Aldiminus,1,aldiminus
Aldrede,1,aldrede
